state_load,state_hour,state_pv,state_battery_soc,state_capa_to_charge,state_capa_to_discharge,state_grid_status,state_grid_co2,state_grid_price_import,state_grid_price_export,state_co2_emission,state_pv_load_diff,state_cost,state_normalized_cost,state_prev_load,state_prev_pv,state_prev_grid_price_import,state_prev_grid_co2,state_prev_action_grid_import,state_cost_co2,state_sum_load,action_battery_power,config_starting_time_step,config_cost_battery,episode,iteration
17598.57514170925,18.0,0.0,0.2,58048.88888888889,0.0,1.0,0.239169997,0.2,0.0,4229.435438230327,-17598.57514170925,3936.5624106952846,0.0,17568.094334361256,0.0,0.2,0.24074526,17568.094334361256,0.1,543229.6437556096,0,0,0,0,282
17597.09202871728,19.0,0.0,0.2,58048.88888888889,0.0,1.0,0.23095892899999998,0.2,0.0,4209.051163846876,-17597.09202871728,3940.620144726538,0.0,17598.57514170925,0.0,0.2,0.239169997,17598.57514170925,0.1,543229.6437556096,0,0,0,0,283
7581.511751145527,20.0,0.0,0.2,58048.88888888889,0.0,1.0,0.23628128899999998,0.2,0.0,4064.20552846698,-7581.511751145527,3925.838958590154,0.0,17597.09202871728,0.0,0.2,0.23095892899999998,17597.09202871728,0.1,543229.6437556096,0,0,0,0,284
7566.248201094138,21.0,0.0,0.2,58048.88888888889,0.0,1.0,0.233596045,0.2,0.0,1791.3693691293122,-7566.248201094138,1695.4392871420368,0.0,7581.511751145527,0.0,0.2,0.23628128899999998,7581.511751145527,0.1,543229.6437556096,0,0,0,0,285
7667.381838231846,22.0,0.0,0.2,58048.88888888889,0.0,1.0,0.23447681399999998,0.2,0.0,1767.4456552639551,-7667.381838231846,1689.994205745223,0.0,7566.248201094138,0.0,0.2,0.233596045,7566.248201094138,0.1,543229.6437556096,0,0,0,0,286
7570.001097199486,23.0,0.0,0.2,58048.88888888889,0.0,1.0,0.26079857300000003,0.08,0.0,1797.8232651500664,-7570.001097199486,1713.2586941613758,0.0,7667.381838231846,0.0,0.2,0.23447681399999998,7667.381838231846,0.1,543229.6437556096,0,0,0,0,287
7570.509687724373,0.0,0.0,0.2,58048.88888888889,0.0,1.0,0.278059207,0.08,0.0,1974.2454837580606,-7570.509687724373,803.024636151765,0.0,7570.001097199486,0.0,0.08,0.26079857300000003,7570.001097199486,0.1,543229.6437556096,0,0,0,0,288
7569.82013287767,1.0,0.0,0.2,58048.88888888889,0.0,1.0,0.277062158,0.08,0.0,2105.049920354457,-7569.82013287767,816.1457670533955,0.0,7570.509687724373,0.0,0.08,0.278059207,7570.509687724373,0.1,543229.6437556096,0,0,0,0,289
7569.453270974923,2.0,0.0,0.2,58048.88888888889,0.0,1.0,0.285013042,0.08,0.0,2097.310701686934,-7569.453270974923,815.3166807989071,0.0,7569.82013287767,0.0,0.08,0.277062158,7569.82013287767,0.1,543229.6437556096,0,0,0,0,290
7714.085255827475,3.0,0.0,0.2,58048.88888888889,0.0,1.0,0.28743155800000003,0.08,0.0,2157.392903037413,-7714.085255827475,821.2955519817351,0.0,7569.453270974923,0.0,0.08,0.285013042,7569.453270974923,0.1,543229.6437556096,0,0,0,0,291
